team_id,no,pos,player,age_yrs,caps,goals,club,country,group,WorldCup
1,21,GK,Pauline Peyraud-Magnin,27,1,0,Arsenal,France,A,Women
1,5,DF,Aissatou Tounkara,24,11,0,Atletico Madrid,France,A,Women
1,18,FW,Viviane Asseyi,25,31,4,Bordeaux,France,A,Women
1,15,MF,Elise Bussaglia,33,187,29,Dijon,France,A,Women
1,23,MF,Maeva Clemaron,26,3,0,Fleury,France,A,Women
1,1,GK,Solene Durand,24,0,0,Guingamp,France,A,Women
1,12,FW,Emelyne Laurent,20,4,0,Guingamp,France,A,Women
1,22,DF,Julie Debever,31,2,0,Guingamp,France,A,Women
1,3,DF,Wendie Renard,28,109,20,Lyon,France,A,Women
1,6,MF,Amandine Henry (captain),29,83,11,Lyon,France,A,Women
1,9,FW,Eugenie Le Sommer,30,159,73,Lyon,France,A,Women
1,10,DF,Amel Majri,26,46,4,Lyon,France,A,Women
1,16,GK,Sarah Bouhaddi,32,140,0,Lyon,France,A,Women
1,19,DF,Griedge Mbock Bathy,24,50,4,Lyon,France,A,Women
1,20,FW,Delphine Cascarino,22,12,1,Lyon,France,A,Women
1,4,DF,Marion Torrent,27,21,0,Montpellier,France,A,Women
1,7,DF,Sakina Karchaoui,23,24,0,Montpellier,France,A,Women
1,13,FW,Valerie Gauvin,23,18,10,Montpellier,France,A,Women
1,14,MF,Charlotte Bilbault,29,15,0,Paris FC,France,A,Women
1,17,MF,Gaetane Thiney,33,155,58,Paris FC,France,A,Women
1,2,DF,Eve Perisset,24,14,0,Paris Saint-Germain,France,A,Women
1,8,MF,Grace Geyoro,21,21,1,Paris Saint-Germain,France,A,Women
1,11,FW,Kadidiatou Diani,24,46,5,Paris Saint-Germain,France,A,Women
2,4,DF,Ngozi Ebere,27,20,1,Arna-Bjornar,Nigeria,A,Women
2,15,FW,Rasheedat Ajibade,19,NA,NA,Avaldsnes,Nigeria,A,Women
2,8,FW,Asisat Oshoala,24,17,11,Barcelona,Nigeria,A,Women
2,21,GK,Alaba Jonathan,27,NA,NA,Bayelsa Queens,Nigeria,A,Women
2,11,FW,Chinaza Uchendu,21,NA,NA,Braga,Nigeria,A,Women
2,23,MF,Ogonna Chukwudi,30,20,3,Djurgarden,Nigeria,A,Women
2,13,MF,Ngozi Okobi-Okeoghene,25,27,4,Eskilstuna United,Nigeria,A,Women
2,18,MF,Halimatu Ayinde,24,12,0,Eskilstuna United,Nigeria,A,Women
2,9,FW,Desire Oparanozie (captain),25,35,22,Guingamp,Nigeria,A,Women
2,5,DF,Onome Ebi,36,81,0,Henan Huishang,Nigeria,A,Women
2,19,FW,Chinwendu Ihezuo,22,NA,NA,Henan Huishang,Nigeria,A,Women
2,10,MF,Rita Chikwelu,31,33,15,Kristianstads,Nigeria,A,Women
2,2,MF,Amarachi Okoronkwo,26,NA,NA,Nasarawa Amazons,Nigeria,A,Women
2,14,DF,Faith Michael,32,53,0,Pitea,Nigeria,A,Women
2,1,GK,Tochukwu Oluehi,32,NA,NA,Rivers Angels,Nigeria,A,Women
2,6,MF,Evelyn Nwabuoku,33,42,3,Rivers Angels,Nigeria,A,Women
2,16,GK,Chiamaka Nnadozie,18,NA,NA,Rivers Angels,Nigeria,A,Women
2,22,FW,Alice Ogebe,24,7,0,Rivers Angels,Nigeria,A,Women
2,20,DF,Chidinma Okeke,18,NA,NA,Robo Queens,Nigeria,A,Women
2,7,FW,Anam Imo,18,NA,NA,Rosengard,Nigeria,A,Women
2,17,FW,Francisca Ordega,25,26,7,Shanghai,Nigeria,A,Women
2,12,FW,Uchenna Kanu,21,1,0,Southeastern Fire,Nigeria,A,Women
2,3,DF,Osinachi Ohale,27,26,1,Vaxjo,Nigeria,A,Women
3,22,FW,Emilie Nautnes,20,6,1,Arna-Bjornar,Norway,A,Women
3,23,GK,Oda Maria Hove Bogstad,23,0,0,Arna-Bjornar,Norway,A,Women
3,3,DF,Maria Thorisdottir,26,32,1,Chelsea,Norway,A,Women
3,6,DF,Maren Mjelde (captain),29,136,19,Chelsea,Norway,A,Women
3,9,FW,Isabell Herlovsen,30,126,60,Kolbotn,Norway,A,Women
3,21,MF,Karina Saevik,23,4,1,Kolbotn,Norway,A,Women
3,8,MF,Vilde Boe Risa,23,19,2,Kopparbergs/Goteborg,Norway,A,Women
3,18,MF,Frida Maanum,19,20,0,Linkoping,Norway,A,Women
3,2,DF,Ingrid Moe Wold,29,60,3,LSK Kvinner,Norway,A,Women
3,5,MF,Synne Skinnes Hansen,23,14,0,LSK Kvinner,Norway,A,Women
3,7,FW,Elise Thorsnes,30,116,19,LSK Kvinner,Norway,A,Women
3,12,GK,Cecilie Fiskerstrand,23,21,0,LSK Kvinner,Norway,A,Women
3,13,FW,Therese Asland,23,6,1,LSK Kvinner,Norway,A,Women
3,14,MF,Ingrid Syrstad Engen,21,16,2,LSK Kvinner,Norway,A,Women
3,16,MF,Guro Reiten,24,37,5,LSK Kvinner,Norway,A,Women
3,20,FW,Emilie Haavi,26,82,16,LSK Kvinner,Norway,A,Women
